DateTime_Full,DateTime_Short,Level1,Level2,Level3,FlowIn,FlowOut,Storage,Release,Spillway,Gate
11/15/2025 1:00,15/11 01:00,428.99,429,427,61.67,57.65,10,47.65,0,1
11/15/2025 2:00,15/11 02:00,428.99,429,427,59.35,58,10,48,0,1
11/15/2025 3:00,15/11 03:00,428.98,429,427,53.14,58,10,48,0,1
11/15/2025 4:00,15/11 04:00,428.98,429,427,56.73,58,10,48,0,1
11/15/2025 5:00,15/11 05:00,428.98,429,427,58.17,58,10,48,0,1
11/15/2025 6:00,15/11 06:00,428.98,429,427,58.64,58,10,48,0,1
11/15/2025 7:00,15/11 07:00,428.98,429,427,58.89,58,10,48,0,1
11/15/2025 8:00,15/11 08:00,428.97,429,427,50.72,58,10,48,0,1
11/15/2025 9:00,15/11 09:00,428.97,429,427,55.63,53.4,10,43.4,0,1
11/15/2025 10:00,15/11 10:00,428.96,429,427,44.89,50.5,10,40.5,0,1
11/15/2025 11:00,15/11 11:00,428.96,429,427,48.75,50.5,10,40.5,0,1
11/15/2025 12:00,15/11 12:00,428.96,429,427,40.62,37.17,10,27.17,0,1
11/15/2025 13:00,15/11 13:00,428.95,429,427,41.89,50.5,10,40.5,0,1
11/15/2025 14:00,15/11 14:00,428.95,429,427,48.77,51.75,10,41.75,0,1
11/15/2025 15:00,15/11 15:00,428.95,429,427,55.96,57,10,47,0,1
11/15/2025 16:00,15/11 16:00,428.94,429,427,51.37,58,10,48,0,1
11/15/2025 17:00,15/11 17:00,428.94,429,427,57.49,58,10,48,0,1
11/15/2025 18:00,15/11 18:00,428.94,429,427,56.83,58,10,48,0,1
11/15/2025 19:00,15/11 19:00,428.91,429,427,35.72,58,10,48,0,1
11/15/2025 20:00,15/11 20:00,428.87,429,427,36.3,58,10,48,0,1
11/15/2025 21:00,15/11 21:00,428.83,429,427,42.26,58,10,48,0,1
11/15/2025 22:00,15/11 22:00,428.79,429,427,45.21,58,10,48,0,1
11/15/2025 23:00,15/11 22:00,428.79,429,427,45.21,58,10,48,0,1
11/16/2025 0:00,16/11 00:00,428.71,429,427,44.79,58,10,48,0,1
11/16/2025 1:00,16/11 01:00,428.67,429,427,43.16,58,10,48,0,1
11/16/2025 2:00,16/11 02:00,428.62,429,427,32.58,58,10,48,0,1
11/16/2025 3:00,16/11 03:00,428.56,429,427,21.89,58,10,48,0,1
11/16/2025 4:00,16/11 04:00,428.5,429,427,16.02,58,10,48,0,1
11/16/2025 5:00,16/11 05:00,428.44,429,427,16.7,58,10,48,0,1
11/16/2025 6:00,16/11 06:00,428.38,429,427,19.1,58,10,48,0,1
11/16/2025 7:00,16/11 07:00,428.33,429,427,22.24,58,10,48,0,1
11/16/2025 8:00,16/11 08:00,428.32,429,427,50.39,58,10,48,0,1
11/16/2025 9:00,16/11 09:00,428.34,429,427,76.28,58,10,48,0,1
11/16/2025 10:00,16/11 10:00,428.38,429,427,92.44,58,10,48,0,1
11/16/2025 11:00,16/11 11:00,428.43,429,427,105.56,58,10,48,0,1
